dataset_id,license_name,license_url,verified_on,verification_method,commercial_use,derivative_works,redistribution_of_raw_data,distribution_of_model_weights,attribution_required,share_alike,dua_required,dua_signatory,clinical_use_restriction,patent_clause,publication_restriction,notes
bath_pdoc_mi,"No named open license found; access-on-request under institutional data-use conditions (University of Bath Research Data Archive)",https://researchdata.bath.ac.uk/id/eprint/1632,2026-07-29,"Fetched the live researchdata.bath.ac.uk/id/eprint/1632 landing page (redirect target of the DOI 10.15125/BATH-01632) and read its access-conditions text directly.",UNVERIFIED,UNVERIFIED,NO,UNVERIFIED,UNVERIFIED,NOT_APPLICABLE,YES,YES,UNVERIFIED,UNVERIFIED,UNVERIFIED,"Page quotes: 'agreement to data use conditions that prohibit data redistribution or use beyond the approved scope' and access is 'granted upon reasonable request, subject to review by the data custodians' restricted to bona fide researchers in relevant fields. Commercial use, clinical-use restriction, patent terms, model-weight distribution and publication restrictions are simply not addressed anywhere in the page text read -- correctly UNVERIFIED rather than inferred. Redistribution is explicitly prohibited and a request/approval step is explicitly required, so those two columns are directly supported."
figshare_doc_rest,CC BY 4.0 (Creative Commons Attribution 4.0 International),https://creativecommons.org/licenses/by/4.0/legalcode,2026-07-29,"Read the license field via the Figshare API (api.figshare.com/v2/articles/23552964), matching the DATASET_REGISTRY row, then read the full CC BY 4.0 legal code at creativecommons.org to confirm each clause.",YES,YES,YES,UNVERIFIED,YES,NO,NO,NOT_APPLICABLE,NO,NO,NO,"Fully permissive license: no field-of-use restriction is stated anywhere in the legal code, so clinical_use_restriction=NO is a direct reading, not an inference. distribution_of_model_weights is UNVERIFIED per project rule -- CC BY 4.0 never names model weights as a use case, even though derivatives are broadly allowed."
icare,CC BY-NC-SA 4.0 (Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International),https://physionet.org/content/i-care/view-license/2.1/,2026-07-29,"Fetched the PhysioNet i-care v2.1 content page and its view-license page directly, then read the full CC BY-NC-SA 4.0 legal code at creativecommons.org to confirm each clause.",NO,YES,YES,UNVERIFIED,YES,YES,NO,NOT_APPLICABLE,NO,NO,UNVERIFIED,"COMMERCIAL USE IS PROHIBITED by this license -- the clearest single commercial blocker in this registry. Redistribution and derivatives are permitted only for NonCommercial purposes and only if re-shared under an identical CC BY-NC-SA license (ShareAlike), which would also bind any downstream commercial product built from I-CARE-derived features. No PhysioNet credentialing/DUA process was found for this specific dataset beyond accepting the CC BY-NC-SA terms; publication_restriction not addressed in the license text itself (PhysioNet's site-wide citation convention is separate from the license and was not evaluated here)."
ebrains_tmseeg_doc,UNVERIFIED,https://search.kg.ebrains.eu/instances/ab2d4db0-4c97-442c-82f9-a3dade301e9f,,"WebFetch of the EBRAINS Knowledge Graph dataset page returned only page chrome ('EBRAINS - Knowledge Graph Search'), no license text -- it is a JavaScript-rendered SPA that a static fetch cannot read. Targeted WebSearches also failed to surface the license/terms text. No license text was obtained from any source.",UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,"Entirely unverified -- every fetch attempt returned no substantive content. Matches the registry's own 'REQUIRES VERIFICATION / NOT YET VERIFIED' status; nothing new was learned except the exact KG page URL. Per the project's governing rule, this dataset cannot support any commercial promotion until a human opens the EBRAINS Knowledge Graph UI (or its authenticated API) and reads the license field directly."
openneuro_ds005620,CC0 1.0 Universal (public domain dedication),https://creativecommons.org/publicdomain/zero/1.0/legalcode,2026-07-29,"Fetched the dataset's own dataset_description.json from the OpenNeuroDatasets GitHub mirror (raw.githubusercontent.com/OpenNeuroDatasets/ds005620/main/dataset_description.json); License field = 'CC0'. Read the full CC0 1.0 legal code at creativecommons.org to confirm each clause.",YES,YES,YES,UNVERIFIED,NO,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NO,"License read directly from the dataset's own BIDS metadata, not inferred from OpenNeuro's general convention. CC0 explicitly disclaims even patent/trademark rights ('not waived, abandoned, surrendered, licensed or otherwise affected') so patent_clause=NO (no grant, not silence). Attribution is explicitly NOT a legal requirement under CC0 (merely a social norm), hence NO rather than YES. model-weight distribution is still UNVERIFIED per project rule despite the license being maximally permissive."
chennu_propofol,Attribution 2.0 UK: England & Wales (CC BY 2.0 UK),https://creativecommons.org/licenses/by/2.0/uk/legalcode,2026-07-29,"Fetched the University of Cambridge Apollo repository item page (www.repository.cam.ac.uk/handle/1810/252736), which states the item's license exactly as 'Attribution 2.0 UK: England & Wales'; read the full CC BY 2.0 UK legal code at creativecommons.org to confirm clauses.",YES,YES,YES,UNVERIFIED,YES,NO,NO,NOT_APPLICABLE,NO,UNVERIFIED,NO,"Registry had this as 'REQUIRES VERIFICATION' / 'NOT YET VERIFIED' -- now resolved, and it is MORE PERMISSIVE than the registry's uncertainty implied: fully open, commercial use allowed. patent_clause is UNVERIFIED because the 2.0-era CC legal code read does not contain the explicit patent/trademark disclaimer that the 4.0 versions do -- this is a real gap in that license version's text, not an oversight."
vitaldb,"CC BY-NC-SA 4.0 base license layered with a bespoke VitalDB Registration Agreement / Data Use Agreement (per fetched agreement text); MODERATE confidence only -- see notes",https://vitaldb.net/registration-agreement/,2026-07-29,"Fetched vitaldb.net/registration-agreement/ directly and obtained specific clause text (Section 5(1)/(2)). A separate fetch of the linked Data Use Agreement (hosted as a Google Doc) returned no usable content on two attempts (empty nav-only render, then HTTP 503), so the full DUA text is NOT independently confirmed -- only the Registration Agreement page's own text was read.",NO,YES,NO,UNVERIFIED,YES,YES,YES,YES,UNVERIFIED,UNVERIFIED,UNVERIFIED,"CAUTION -- moderate confidence, not high. The Registration Agreement page names CC BY-NC-SA 4.0 (commercial use prohibited) and states in Section 5(1) that use is limited to 'research and development purposes' and in Section 5(2) that the User 'must not disclose the Data to anyone who is not hired to the User without the consent of provider' (redistribution restricted). An independent web search on VitalDB terms returned a less certain, partially contradictory characterization ('does not appear to explicitly restrict commercial use'), so this row is flagged as needing a lawyer to read the actual signed Registration Agreement and Data Use Agreement end-to-end before ANY commercial promotion on VitalDB-derived features, even though the direction recorded here (NO commercial use, NO free redistribution) is the conservative/safe reading."
physionet_eegmmidb,Open Data Commons Attribution License v1.0 (ODC-BY 1.0),https://physionet.org/content/eegmmidb/view-license/1.0.0/,2026-07-29,"Fetched the PhysioNet eegmmidb v1.0.0 content page and its view-license page directly, then read the full ODC-BY 1.0 text at opendatacommons.org to confirm each clause.",YES,YES,YES,UNVERIFIED,YES,NO,NO,NOT_APPLICABLE,NO,UNVERIFIED,NO,"Confirms the registry's 'ODC-BY expected'. License text explicitly states rights 'include commercial use, and do not exclude any field of endeavour' -- a direct, explicit statement that clinical_use_restriction=NO, not an inference. patent_clause is UNVERIFIED because ODC-BY 1.0's text does not address patents at all (true silence, unlike CC0/CC4.0's explicit disclaimer)."
openneuro_ds007554,CC0 1.0 Universal (public domain dedication),https://creativecommons.org/publicdomain/zero/1.0/legalcode,2026-07-29,"Fetched the dataset's own dataset_description.json from the OpenNeuroDatasets GitHub mirror (raw.githubusercontent.com/OpenNeuroDatasets/ds007554/main/dataset_description.json); License field = 'CC0'. Same CC0 1.0 legal text verified as for openneuro_ds005620.",YES,YES,YES,UNVERIFIED,NO,NOT_APPLICABLE,NO,NOT_APPLICABLE,NO,NO,NO,"License read directly from this dataset's own BIDS metadata (not assumed from the sibling OpenNeuro dataset above, though both happen to be CC0). Same CC0 clause reasoning as openneuro_ds005620 applies: no patent grant, attribution not legally required, model-weight distribution UNVERIFIED per project rule."
physionet_sleep_edfx,Open Data Commons Attribution License v1.0 (ODC-BY 1.0),https://physionet.org/content/sleep-edfx/view-license/1.0.0/,2026-07-29,"Fetched the PhysioNet sleep-edfx v1.0.0 content page and its view-license page directly, confirming the license name; the view-license fetch returned a thin summary rather than full body text, so clause-level detail is carried from the identical, independently-read ODC-BY 1.0 text at opendatacommons.org (same license, same legal document, not dataset-specific wording).",YES,YES,YES,UNVERIFIED,YES,NO,NO,NOT_APPLICABLE,NO,UNVERIFIED,NO,"License identity (ODC-BY 1.0) is directly confirmed via this dataset's own PhysioNet view-license link. Clause-level answers (commercial/derivative/redistribution/attribution/share-alike/clinical/patent) reuse the ODC-BY 1.0 legal text already read verbatim for physionet_eegmmidb, since it is the same universal license document, not a dataset-specific contract."
