subject,run,trial,y,n_channels_used,exponent_low,exponent_high,whole_head_exponent,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,lempel_ziv,mu_c3,mu_c4,mu_mean,mu_lateralisation,f0,f1,f2,f3,f4,f5
S002,R04,1,0.0,3,0.8328989532551735,0.2997289114548,0.7904268300792997,0.26325973729327196,0.2756016824789216,34.70958238828034,0.8480042166293696,0.9102108853783052,0.2945287463466453,0.26325973729327196,0.2788942418199586,0.056058900408490986,14.718569385853726,13.887780562385199,14.314249802140203,14.864661875229409,14.450651916336177,15.486426806321969
S002,R04,3,1.0,3,1.1307130577858056,3.512971932371711,1.2147089797567454,0.20454984360528528,0.27557031930687903,29.665451000829805,0.8381329690830921,0.8581988347852592,0.20138778693976586,0.20454984360528528,0.20296881527252558,-0.0077895135301295675,14.751849211661956,14.510905773370611,14.642881342379908,14.896209378937133,14.964094044747888,15.557281219585118
S002,R04,5,0.0,3,0.6398325843629238,3.6555357727939115,1.1108152744808133,0.14971160285486837,0.165193956394821,31.141780304332293,0.8547960672942785,0.8581988347852592,0.2420425688470284,0.14971160285486837,0.19587708585094837,0.23568598029485388,14.540657484072383,13.57392716548686,14.287092321853956,14.77820846322634,14.354595244799162,14.870915106210367
S002,R04,7,1.0,3,0.6952432748236883,1.7248611962368987,1.060356251463244,0.2802034020824346,0.24699870470649896,32.83334332431034,0.8419344836333591,0.9102108853783052,0.28335342959586307,0.20672545568529685,0.24503944264057997,0.15635844802129048,15.096978218190955,14.492795025639632,15.060686066651037,15.280148592946901,14.8906460283592,15.547951346985093
S002,R04,9,0.0,3,0.81596499312551,3.157808347439719,0.9096423669132427,0.30503304763802724,0.11880779352612353,32.02744652178651,0.8596124189688039,0.8581988347852592,0.2791394582949304,0.30503304763802724,0.29208625296647883,-0.04432524482086545,15.162405576611526,14.483445712922382,15.133114875602919,14.705713796241728,14.193090389832081,15.099401012168679
S002,R04,11,1.0,3,0.8709505749684656,3.6085734312749005,1.1628256148688518,0.15496659887852304,0.4212233068504099,29.188940171528742,0.7779357722850387,0.8321928094887362,0.20770771878367963,0.15464109605648405,0.18117440742008184,0.14645176292519102,14.455218120279707,14.376669378064847,14.726662030352172,14.741032641970707,14.682763163790998,15.189479757193492
S002,R04,13,1.0,3,1.0484437635534392,3.8411542273497243,0.9769343433424439,0.10182440639531422,0.4975194094098353,31.224887594515543,0.7283779243498287,0.7801807588956902,0.10182440639531422,0.10033773550931714,0.10108107095231568,0.007353854049975409,14.029934346977727,13.952781309848444,14.311934827471674,15.0596960151317,14.607814561544966,15.79981084196759
S002,R04,15,0.0,3,0.5893840625038411,2.0608719314303987,1.0628380737204575,0.15960094698282876,0.2088623415794569,30.99163489010891,0.8402937608919223,0.8842048600817822,0.4024771530449891,0.11924124406617394,0.26085919855558154,0.5428903993938818,14.119889733136292,13.796453358361598,14.713086942639244,14.889410434241139,14.640227537438989,15.6951070869567
S002,R04,17,1.0,3,0.8693099860397988,4.401001058162959,1.2243338577651368,0.3284067328281459,0.28417349716104434,30.16541526998822,0.786798759066371,0.8061867841922132,0.28921798109206914,0.3284067328281459,0.30881235696010756,-0.0634507506788972,13.84253876167206,14.416785307450672,14.707462282341734,14.817732008436277,14.668655139875115,15.386697600526883
S002,R04,19,0.0,3,1.3100935070947404,4.07102213706755,1.3726755921183127,0.09450369704629227,0.5380047839592257,27.81789275717672,0.7095654150731392,0.6761566577095982,0.06743882858575606,0.09450369704629227,0.08097126281602417,-0.16712638236870928,15.010189307983191,14.61096402669765,15.297273642268872,14.5893524275382,14.760164771641836,15.572598010227432
