recording_id,subject,run,status,error,n_channels,sfreq,n_samples,ge,cl,deg,ge_norm,cl_norm,smallworld,modularity,strength_cv,iaf,alpha_prom
S001R01,S001,R01,ok,,64,160.0,8800,0.1599152769990699,0.046714403545800025,0.07529749403512902,0.8432974377123954,0.9778644925558799,1.1595724697190155,0.2359668276143483,0.42420977386783376,13.0,0.3961813675539435
S001R02,S001,R02,ok,,64,160.0,8800,0.23106612204645655,0.10399849121963645,0.14342732634082034,0.8477816904056478,1.0190761871011285,1.2020502431628588,0.10547365228963035,0.35423280843077276,10.0,0.9597796962553669
S003R01,S003,R01,ok,,64,160.0,8800,0.1836737272409659,0.06411417682748356,0.09793099330507947,0.8039849438926575,0.9759022108182341,1.213831450739866,0.2588455003108027,0.4167257634675538,7.0,0.3288569942842655
S003R02,S003,R02,ok,,64,160.0,8800,0.1683110115225173,0.09990342408673246,0.11193507089973084,0.8506634224095684,1.0400631612679507,1.2226494449730696,0.09759563117362528,0.3893786910910048,11.0,0.8050874280195806
S002R01,S002,R01,ok,,64,160.0,8800,0.18515563273120927,0.1036355667441559,0.11348630638261176,0.8274265408446917,1.0910003278347076,1.3185464497198052,0.12102644679065756,0.5077171195705403,9.0,0.38057836878173323
S002R02,S002,R02,ok,,64,160.0,8800,0.29310717836755645,0.16951342694168675,0.20970685771229655,0.8697126299370966,1.0670778937548733,1.2269315829437264,0.07985486769489021,0.4224567051728296,11.0,1.0571665499038532
S005R01,S005,R01,ok,,64,160.0,8800,0.09453163163310338,0.034501212598455934,0.04691607408676363,0.7225419805721504,1.0499402040607861,1.453120001732471,0.11763888051387779,0.7057607212170831,7.0,0.32064578329396676
S004R01,S004,R01,ok,,64,160.0,8800,0.17981810401789097,0.054304129269904924,0.09740216589278895,0.823767404896145,0.9808480894098757,1.1906857246112261,0.10077878385709067,0.48996550799821403,12.0,0.1664619156986548
S004R02,S004,R02,ok,,64,160.0,8800,0.41481011170518767,0.28320480300173156,0.34096771664986547,0.9406432393737757,1.031592800191249,1.0966886881343263,0.046512172312890086,0.2735121122630704,11.0,0.8724152244194805
S005R02,S005,R02,ok,,64,160.0,8800,0.10398231456135702,0.05426485798107103,0.05775659298382464,0.7228483980273965,1.1260177929321469,1.5577509696431118,0.1077931550329749,0.6468466860506445,8.0,0.38532755504420907
S006R02,S006,R02,ok,,64,160.0,8800,0.12527293812311172,0.03790523846664934,0.06435975987617915,0.7377891373747099,1.1013939876547243,1.4928303113459178,0.1660736621989118,0.5729936684678499,7.0,0.45397544760957614
S006R01,S006,R01,ok,,64,160.0,8800,0.11572106267483127,0.03398444335213477,0.058244352713884305,0.7923989207202141,1.0375627762708808,1.3093944844445728,0.19400338676873538,0.40272154923670095,7.0,0.4914896175346303
S007R01,S007,R01,ok,,64,160.0,8800,0.1602015963030579,0.07536234875726164,0.10037990315521969,0.7658099227948406,1.1161899008999983,1.4575286473521236,0.13354146353108842,0.49658839728568327,11.0,0.6410509414947367
S007R02,S007,R02,ok,,64,160.0,8800,0.1594422184484119,0.051004402411758916,0.07703166457588866,0.8508615135527914,1.1260288689760571,1.323398521428356,0.2367468503667978,0.5756219046357347,11.0,1.0919594591088164
S008R01,S008,R01,ok,,64,160.0,8800,0.12836284871535716,0.04609170424261314,0.06810726519413965,0.7680715644595066,0.9795075840721226,1.2752816656627612,0.2592668951596959,0.48628960323370685,7.0,0.37494509386382535
S008R02,S008,R02,ok,,64,160.0,8800,0.2608460263072177,0.11742471564703219,0.16211807927770497,0.8432730116451044,1.0567167760073763,1.2531134773848316,0.09998882058812958,0.4400939533547268,10.0,0.8793636692599286
S009R01,S009,R01,ok,,64,160.0,8800,0.09626549754876379,0.050822874946824935,0.03980206713799401,0.899776838209792,1.133230204042482,1.259456963014487,0.1734494080789122,0.7133293563742266,9.0,0.24521393560955373
S009R02,S009,R02,ok,,64,160.0,8800,0.20669716846430608,0.130108015548485,0.13564910440292915,0.9059827945306782,1.0588690818971485,1.1687518662489271,0.05921441020794752,0.4325413748416811,9.0,0.5419479967609978
S010R02,S010,R02,ok,,64,160.0,8800,0.3308593184396232,0.2071689525198018,0.22203240460078508,0.9553500216709949,1.0848676622341866,1.1355708772965258,0.038517660497752675,0.4726958829477815,9.0,0.8929163136159971
S011R01,S011,R01,ok,,64,160.0,8800,0.09846884075774634,0.028897435042713894,0.04807853066403867,0.7911164581956347,0.9895927617392631,1.250881272267183,0.2030571294958329,0.5498691499158985,7.0,0.11284660857364043
S010R01,S010,R01,ok,,64,160.0,8800,0.11065509128766617,0.050582226328853744,0.057739314124648805,0.8952900447579579,0.9416099403991078,1.0517373067112261,0.15323476291125623,0.390108834150661,11.0,0.27764656172796565
S011R02,S011,R02,ok,,64,160.0,8800,0.17507308248825318,0.05894337646828493,0.08921757919314947,0.8315115563890435,1.0941168301949622,1.3158167457663719,0.2508350032545765,0.4494425482300226,10.0,0.8780102757154357
S013R01,S013,R01,ok,,64,160.0,8800,0.13058455700708102,0.05077319645450121,0.06907224762452989,0.8977399694984395,1.010344774682944,1.125431426705236,0.10115997279117346,0.4481574824955023,8.0,0.31011215610508513
S013R02,S013,R02,ok,,64,160.0,8800,0.14560668507320274,0.04740100044877422,0.07186549477532257,0.8919092397615977,1.051724418344836,1.1791832301523817,0.17441573132709962,0.5065940550237232,9.0,0.6507455413784811
