recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_run,meta_condition,meta_sfreq,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,lempel_ziv,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
S001@R01,eegmmidb_rest,S001,ok,,64,160,8800,R01,eyes_open,160.0,0.5498252216,0.08031474033,0.3471155047,1.59011173,4.887194638,2.360630757,1.410612102,0.5996599263,0.1195787652,0.001344742371,0.0989728173,0.6170872861,0.0314741296,22.80983288,0.7219630834,2.348641756,1.577841437,0.07988969726
S001@R02,eegmmidb_rest,S001,ok,,64,160,8800,R02,eyes_closed,160.0,0.5597407601,0.08094850906,0.09847066384,0.1312125298,4.996182261,2.797009154,0.9435115865,0.6644375241,0.09316344279,0.0006434823083,0.4531494667,0.2801843211,0.04526130939,22.11525361,0.7935924409,2.107500972,1.431384007,0.1420631854
S002@R01,eegmmidb_rest,S002,ok,,64,160,8800,R01,eyes_open,160.0,0.4258589454,0.1341278742,0.3665038676,1.493018681,0.2853055771,2.378446972,1.383846293,0.8372193091,-0.0883227952,0.0006254890561,0.08104560319,0.6928874768,0.03903781645,27.08553965,0.6979395247,1.658492438,1.099074385,0.122317912
S002@R02,eegmmidb_rest,S002,ok,,64,160,8800,R02,eyes_closed,160.0,0.4258224088,0.1877322298,0.2762675553,0.5743144447,0.6496918857,3.35578627,0.5048259764,0.8335755693,-0.1017398013,0.000647100637,0.5785238414,0.1237105817,0.05214248383,29.7981612,0.8113872194,1.207329453,0.8479718969,0.2087262038
S003@R01,eegmmidb_rest,S003,ok,,64,160,8800,R01,eyes_open,160.0,0.5576484682,0.1097904029,0.2816100174,0.8295905854,5.956356846,1.204113725,1.576909351,0.5897564281,0.08076318438,0.003055898868,0.06859291473,0.6361413368,0.04161190982,22.19699559,0.7116313872,2.030079711,1.340592588,0.09878713628
S003@R02,eegmmidb_rest,S003,ok,,64,160,8800,R02,eyes_closed,160.0,0.519874402,0.1046845489,0.1456098362,0.2293093764,6.199986328,2.1205674,1.021333851,0.6273149776,0.09585837669,0.0006644283254,0.393559533,0.3004674213,0.0594231708,24.97552337,0.79581135,1.739254963,1.234849339,0.1313410932
S004@R01,eegmmidb_rest,S004,ok,,64,160,8800,R01,eyes_open,160.0,0.5041421434,0.08130008129,0.3876763025,2.268534888,4.65569783,2.446701115,1.609390874,0.5039883971,0.02584001009,0.0007766119161,0.05385874204,0.6388876867,0.06237631627,20.09227585,0.7038146398,1.833082853,1.437899987,0.1014315489
S004@R02,eegmmidb_rest,S004,ok,,64,160,8800,R02,eyes_closed,160.0,0.4455162291,0.1023628676,0.07165568426,0.04269687393,4.175219041,2.693649294,0.8681746251,0.5777040578,0.03474851273,0.0008221734728,0.3824294112,0.324354396,0.06484385727,25.69580961,0.774683446,1.802410259,1.26924152,0.3477560351
S005@R01,eegmmidb_rest,S005,ok,,64,160,8800,R01,eyes_open,160.0,0.4778421512,0.1278320178,-0.113597609,-0.5504530662,6.983267001,1.776081518,1.433745271,0.7462192414,-0.1007561635,0.0006453944652,0.08133715041,0.5434079215,0.04993289047,32.20990697,0.7956835988,1.560166748,1.233438879,0.04961419551
S005@R02,eegmmidb_rest,S005,ok,,64,160,8800,R02,eyes_closed,160.0,0.4431717779,0.1156194927,-0.169461375,-0.8333225383,6.910743391,1.380990318,1.215790692,0.7420772123,-0.1033098385,0.0007946740403,0.1271265978,0.5062737515,0.04842688817,28.78724644,0.7943306875,1.876279524,1.31861299,0.06426574783
