subject,dataset,run,status,error,sfreq,n_samples,smr_C3_db,smr_C4_db,smr_predictor_db,smr_peak_hz
A10,A,OE,ok,,512,61440,8.7473,5.64119,8.7473,12.75
A16,A,OE,ok,,512,61440,0.703209,0.361028,0.703209,9.75
A21,A,OE,ok,,512,61440,2.74065,1.68732,2.74065,10.5
A27,A,OE,ok,,512,61440,2.10885,1.13405,2.10885,11
A32,A,OE,ok,,512,61440,1.18259,0.346175,1.18259,11
A38,A,OE,ok,,512,61440,4.50475,6.16125,6.16125,13.25
A43,A,OE,ok,,512,61440,0.446848,0.758404,0.758404,8.5
A49,A,OE,ok,,512,61440,0.210009,0.640263,0.640263,14
A54,A,OE,ok,,512,61440,5.28646,3.42973,5.28646,10.75
A6,A,OE,ok,,512,61440,10.173,9.0667,10.173,11
B62,B,OE,ok,,512,61440,10.9326,7.77526,10.9326,11.25
B68,B,OE,ok,,512,61440,1.01712,0.620005,1.01712,14.5
B74,B,OE,ok,,512,61440,9.6226,3.65996,9.6226,10
B80,B,OE,ok,,512,61440,2.64988,3.08543,3.08543,10.5
C86,C,OE,ok,,512,61440,7.33595,5.0281,7.33595,12
