subject,dataset,run,status,error,sfreq,n_samples,smr_C3_db,smr_C4_db,smr_predictor_db,smr_peak_hz
A14,A,OE,ok,,512,61440,6.7921,9.183,9.183,10.5
A2,A,OE,ok,,512,61440,-3.81545,0.5431,0.5431,12.75
A25,A,OE,ok,,512,61440,5.49448,7.23001,7.23001,11.75
A30,A,OE,ok,,512,61440,-1.1489,1.55841,1.55841,12.75
A36,A,OE,ok,,512,61440,0.556689,1.03364,1.03364,10.25
A41,A,OE,ok,,512,61440,2.65895,4.09285,4.09285,10.5
A47,A,OE,ok,,512,61440,3.25413,4.51393,4.51393,11.25
A52,A,OE,ok,,512,61440,7.5133,5.80998,7.5133,10.25
A58,A,OE,ok,,512,61440,11.3876,14.2753,14.2753,9.5
A9,A,OE,ok,,512,61440,4.09613,1.78997,4.09613,13
B66,B,OE,ok,,512,61440,0.726785,1.44397,1.44397,8.75
B72,B,OE,ok,,512,61440,1.72112,0.342477,1.72112,9.75
B78,B,OE,ok,,512,61440,8.10245,6.61679,8.10245,10.75
C84,C,OE,ok,,512,61440,6.10441,3.06107,6.10441,11.5
