recording_id,subject,label,bis_rbr,bis_bsr,bis_quazi,bis_sfs,n_channels,n_samples,sfreq,channels
SC4001E0-PSG@W,SC4001E0-PSG,W,0.313466,0,0,2.3442,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4001E0-PSG@N1,SC4001E0-PSG,N1,-0.54756,0,0.00270833,3.10355,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4001E0-PSG@N2,SC4001E0-PSG,N2,-1.91337,0,0.00433333,4.58248,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4001E0-PSG@N3,SC4001E0-PSG,N3,-2.25906,0,0,7.85549,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4001E0-PSG@REM,SC4001E0-PSG,REM,-1.06266,0.0025,0.0104167,3.83939,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4002E0-PSG@W,SC4002E0-PSG,W,-0.155424,0,0,2.92903,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4002E0-PSG@N1,SC4002E0-PSG,N1,-0.661831,0,0.00245833,2.76923,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4002E0-PSG@N2,SC4002E0-PSG,N2,-2.00918,0,0,4.84473,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4002E0-PSG@N3,SC4002E0-PSG,N3,-1.69897,0,0,6.47128,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4002E0-PSG@REM,SC4002E0-PSG,REM,-0.619731,0,0,2.62425,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4011E0-PSG@W,SC4011E0-PSG,W,-0.023979,0,0,3.96578,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4011E0-PSG@N1,SC4011E0-PSG,N1,-1.2213,0.0334583,0.0679583,3.82754,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4011E0-PSG@N2,SC4011E0-PSG,N2,-3.04245,0.0124167,0.0109167,7.02607,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4011E0-PSG@N3,SC4011E0-PSG,N3,-2.80002,0,0,7.36787,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4011E0-PSG@REM,SC4011E0-PSG,REM,-1.31476,0.051875,0.00829167,4.90514,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4012E0-PSG@W,SC4012E0-PSG,W,-0.0657193,0,0,3.23519,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4012E0-PSG@N1,SC4012E0-PSG,N1,-1.20986,0.00504167,0.02425,4.0926,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4012E0-PSG@N2,SC4012E0-PSG,N2,-2.82922,0,0.00425,6.35677,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4012E0-PSG@N3,SC4012E0-PSG,N3,-2.52887,0,0,7.05483,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4012E0-PSG@REM,SC4012E0-PSG,REM,-0.883902,0,0.0152917,4.63222,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4021E0-PSG@W,SC4021E0-PSG,W,0.463843,0,0.002125,2.56139,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4021E0-PSG@N1,SC4021E0-PSG,N1,-1.16125,0.00708333,0.029375,2.66861,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4021E0-PSG@N2,SC4021E0-PSG,N2,-3.16575,0.00270833,0.015,6.16722,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4021E0-PSG@N3,SC4021E0-PSG,N3,-2.63007,0,0,7.47336,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4021E0-PSG@REM,SC4021E0-PSG,REM,-1.20714,0.0184167,0.047125,4.09778,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4022E0-PSG@W,SC4022E0-PSG,W,0.245952,0.00229167,0.009875,4.36476,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4022E0-PSG@N1,SC4022E0-PSG,N1,-0.31842,0.07075,0.247542,3.05597,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4022E0-PSG@N2,SC4022E0-PSG,N2,-2.10073,0.00695833,0.0317917,5.46838,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4022E0-PSG@N3,SC4022E0-PSG,N3,-1.72117,0,0,6.51599,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4022E0-PSG@REM,SC4022E0-PSG,REM,-0.668103,0.033,0.104625,4.72383,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4031E0-PSG@W,SC4031E0-PSG,W,0.27945,0,0,2.58732,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4031E0-PSG@N1,SC4031E0-PSG,N1,-1.42194,0.00216667,-8.33333e-05,3.81863,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4031E0-PSG@N2,SC4031E0-PSG,N2,-3.26405,0,0,4.7768,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4031E0-PSG@N3,SC4031E0-PSG,N3,-2.25543,0,0,6.65622,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4031E0-PSG@REM,SC4031E0-PSG,REM,-1.26939,0,0,4.02755,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4032E0-PSG@W,SC4032E0-PSG,W,0.436443,0,0,1.70563,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4032E0-PSG@N1,SC4032E0-PSG,N1,-1.35426,0,0,3.62366,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4032E0-PSG@N2,SC4032E0-PSG,N2,-3.77478,0,0,5.25668,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4032E0-PSG@N3,SC4032E0-PSG,N3,-2.75128,0,0,6.61389,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4032E0-PSG@REM,SC4032E0-PSG,REM,-1.08469,0,0,4.18848,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
SC4041E0-PSG@W,SC4041E0-PSG,W,0.128798,0,0,3.08722,2,12000,100,EEG Fpz-Cz|EEG Pz-Oz
