subject,task,run,trial,y,f0,f1,f2,f3,f4,f5
S001,executed,R03,1,1.0,15.239579138895795,14.57379159446571,14.923299443556711,15.905196112660466,15.322293783938028,15.808857059236393
S001,executed,R03,3,0.0,15.94629378902498,15.016077842626146,15.523341780210115,16.014363145965532,15.826887772866813,15.848961817683726
S001,executed,R03,5,0.0,15.250278440389804,15.038416821062667,15.580719783724435,15.78592128264372,15.425261068848537,15.701735292759096
S001,executed,R03,7,1.0,15.202008236300877,14.816106789823596,15.206336300706544,15.665647149927267,15.436717104027961,15.604064566407379
S001,executed,R03,9,1.0,15.859292497068186,15.538233455309225,16.001076421892456,16.13756541510559,15.828911102275248,16.20446346484729
S001,executed,R03,11,0.0,15.833035059687791,15.698026533441766,15.907872044636733,15.933661204925814,15.535986831638763,15.894608927381313
S001,executed,R03,13,0.0,15.639217747931472,14.885833541432097,15.450592590492649,15.915909331151477,15.396175125546174,15.922004270635924
S001,executed,R03,15,1.0,16.118128596951266,16.01724045906133,16.31995417360926,15.651782815422852,15.260673163552065,15.683395292624974
S001,executed,R03,17,0.0,15.9056743790376,15.290827826237665,15.832598306985043,15.64544278856333,15.456803339968436,15.842913058884369
S001,executed,R03,19,1.0,15.95862500008912,15.95800326519655,16.21262168983852,15.990462200782847,15.617249399175654,15.944414209965574
S001,executed,R03,21,1.0,16.36557071121742,15.813546748201105,16.33816097468976,15.6167037453014,15.6466671030372,15.857348069259384
S001,executed,R03,23,0.0,16.795089513494236,16.344026679692032,16.777855286352978,16.497905577186536,16.24800682772399,16.52449928825139
S001,executed,R03,25,0.0,16.050434079046035,15.576104270554756,15.97011857040916,16.134715430055337,15.847172365730465,16.302235568769415
S001,executed,R03,27,1.0,15.251118932699898,15.04009286181421,15.1011185719614,15.907236589157003,15.494050982951748,15.94092939837047
S001,executed,R03,29,0.0,16.216430138401183,16.08625640244395,16.48084312042233,15.647369032318108,15.44909892598137,15.533942399207184
S001,executed,R07,1,0.0,15.553602514696601,15.531240208974749,15.936946487366423,15.773854855761494,15.218901566557038,15.556886155742136
S001,executed,R07,3,1.0,15.34621222909582,15.082364980399769,15.28303637803512,15.619263205265009,15.829058297377827,15.783138259311777
S001,executed,R07,5,0.0,15.831562722283696,15.462126186327772,16.056106979157743,16.286390431425907,16.25105166826436,16.427444881083606
S001,executed,R07,7,1.0,15.964892844300623,16.39275799447828,16.258442235266752,16.296140789610263,16.421289838614232,16.26922778445469
S001,executed,R07,9,0.0,16.088035218898295,15.995462141135818,15.991609463563188,16.085417937021333,16.455826128016323,16.337372772349713
S001,executed,R07,11,1.0,15.871100029512412,15.63606136748483,16.029147626313136,15.888981084626618,15.51775457659764,15.796995517814876
S001,executed,R07,13,1.0,15.152496154151255,14.655034379115387,15.031479104163806,16.04851093757593,15.229169048718127,15.643482071057432
S001,executed,R07,15,0.0,16.07689218398562,15.81995658014373,16.214424354801718,16.05631321573884,16.203237985412784,16.262279981067334
S001,executed,R07,17,0.0,15.947128232457452,15.026600161147579,15.728144702694568,15.645220299394365,15.417299545444875,15.74491241105121
S001,executed,R07,19,1.0,15.886919237824122,15.420919300380278,15.908481208893283,15.968991352795042,15.508738456699243,15.868784848361475
S001,executed,R07,21,1.0,16.49791846105052,15.968977773714366,16.493917747315283,15.719244370329,15.335900183047311,15.750150886743308
S001,executed,R07,23,0.0,15.710465788361027,15.36723078118923,15.827601135966331,15.884498088784166,15.645249456501013,16.037523153146896
S001,executed,R07,25,1.0,15.447992617843795,15.358437803251567,15.412279315031647,15.57316965836343,15.578495807348597,15.641802246506977
S001,executed,R07,27,0.0,15.24618559285127,14.903116185324738,15.444562920135963,15.591914856213052,14.98435522564997,15.188642274733027
S001,executed,R07,29,0.0,15.55804119717124,14.925580735237952,15.37154027883767,16.040480891009786,15.713267610634782,16.4212716770595
S001,executed,R11,1,0.0,15.227766637150658,14.814691694952305,15.269321981101156,15.62307710142762,15.468085106568292,15.717259943195705
S001,executed,R11,3,1.0,15.304462019319217,15.334542617750946,15.666200223378615,15.888949299770895,15.704020518285716,16.16765042681379
S001,executed,R11,5,1.0,15.184301084529078,15.486736370284252,15.761062467405218,15.991500720072809,15.360619606545251,16.07140546128832
S001,executed,R11,7,0.0,15.643433533292368,15.269404561964723,15.714792924813342,15.533325397851852,15.441144785648557,15.629317455664438
S001,executed,R11,9,1.0,15.892722089185543,15.259688833736941,15.542808204695643,16.006760564777963,15.8991622654015,16.146156912810735
S001,executed,R11,11,0.0,15.280985694859691,15.140389218381578,15.329767833056522,15.73242136316151,15.258196011895835,15.716056133873254
S001,executed,R11,13,0.0,16.054671141710834,15.388496168817465,15.876111043353907,16.117379145607533,15.529916689619398,16.008943062210236
S001,executed,R11,15,1.0,14.965044930925679,15.737060777370361,15.30507887760613,16.084675059572167,16.06613294365873,16.04525370553964
S001,executed,R11,17,1.0,15.761086632141025,15.807496347064118,15.841886936793685,16.108738477010522,15.750148602238172,16.52376607866417
S001,executed,R11,19,0.0,15.631515251344764,15.148741217121456,15.818131860284552,15.768219660276086,15.491336954862518,15.844230376130689
S001,executed,R11,21,0.0,15.77279536899807,15.210778822406663,15.597960125036677,15.822550877492759,15.968766213037524,16.089541754305476
S001,executed,R11,23,1.0,17.231308914345735,16.70866708527214,17.210642811081637,15.957255842616775,16.159742621827057,16.203215800541322
S001,executed,R11,25,1.0,15.768586709890508,15.868269836914775,15.779605820443006,15.577010233210482,15.495573096062172,15.698970232074771
S001,executed,R11,27,0.0,15.608888419720158,14.691155848025096,15.257232414889312,16.36803000183012,15.762117170649814,16.265285362320494
S001,executed,R11,29,1.0,15.607734473390595,15.742236399671995,15.490585061922362,15.839685893158267,15.94866269130244,15.933630726643766
S005,executed,R03,1,0.0,13.629193111582273,13.124653846124197,13.521198153450147,13.971299558296256,13.692225894033857,13.75228535546582
S005,executed,R03,3,1.0,13.758463167368356,13.229141101961957,13.618241209375892,13.960378625671993,14.215056636991095,14.130068963214061
S005,executed,R03,5,1.0,14.906067245663408,13.400285463459465,14.49056097690898,13.855129862222446,14.474148165809629,14.204685418486386
S005,executed,R03,7,0.0,13.726444063775812,13.56530264227696,14.199209490599133,14.0961981759247,13.79126727734408,13.966289629044441
S005,executed,R03,9,1.0,13.647437294272876,13.293226445327765,13.45354271758764,14.159466457775071,13.935813342243755,13.992018160839894
S005,executed,R03,11,0.0,13.385189637800593,13.572739113934283,14.102139552339548,14.289104930064365,14.38790227590261,14.344482923305089
S005,executed,R03,13,1.0,14.067503504004575,13.54309787459733,13.934841543374157,14.282319568465626,14.075337938173343,14.082556347763209
S005,executed,R03,15,0.0,13.00267241504524,13.270707244714758,13.04750872012976,14.629030510132985,14.497809100146444,14.523600568372443
S005,executed,R03,17,1.0,13.745720828221975,12.833765718834258,13.818648475712846,13.960260195174776,14.316609598054177,13.702303447791982
S005,executed,R03,19,0.0,13.566944669283203,12.878193769651793,13.28893625314946,14.207490111333591,13.81538762083517,13.99690998319286
S005,executed,R03,21,0.0,13.225760713093733,13.350693061281673,13.671356269761391,13.762104032911662,13.862315055622199,14.136276723525855
S005,executed,R03,23,1.0,13.79978713076262,13.98060925935653,14.255641496217596,14.129389277769642,13.842805485739428,14.195089769840937
S005,executed,R03,25,0.0,13.334364904144564,12.810146940598315,13.412849522297831,14.214642007505221,14.097911014358568,14.22839022595543
S005,executed,R03,27,1.0,13.022411043001334,12.674369367373334,13.100805885967434,13.968409480365906,13.611048923479627,13.70467996572273
