recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_run,meta_condition,meta_sfreq,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,icoh_alpha,lempel_ziv,lrtc_alpha,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
S003@R02,eegmmidb_rest,S003,ok,,64,160,8800,R02,eyes_closed,160.0,0.519874402,0.1046845489,0.1456098362,0.2293093764,6.199986328,2.1205674,1.021333851,0.1302777871,0.6273149776,0.7468753686,0.09585837669,0.0006644283254,0.393559533,0.3004674213,0.0594231708,24.97552337,0.79581135,1.739254963,1.234849339,0.1313410932
S005@R01,eegmmidb_rest,S005,ok,,64,160,8800,R01,eyes_open,160.0,0.4778421512,0.1278320178,-0.113597609,-0.5504530662,6.983267001,1.776081518,1.433745271,0.06581845186,0.7462192414,0.6614021574,-0.1007561635,0.0006453944652,0.08133715041,0.5434079215,0.04993289047,32.20990697,0.7956835988,1.560166748,1.233438879,0.04961419551
S007@R01,eegmmidb_rest,S007,ok,,64,160,8800,R01,eyes_open,160.0,0.5876389422,0.1000241951,-0.0744311389,-0.3313566644,6.947505333,1.74898729,1.160468025,0.08665850929,0.7953318721,0.6098211444,-0.1753654516,0.0009614474014,0.2106160654,0.5135559496,0.03863040395,24.85285083,0.7818991495,2.150624505,1.317247588,0.08518947192
S008@R01,eegmmidb_rest,S008,ok,,64,160,8800,R01,eyes_open,160.0,0.5107279921,0.1044571959,0.3296131692,1.246025816,4.492728048,1.050726286,1.724576707,0.0677299337,0.5248231149,0.7180083028,0.0457706821,0.0006887749443,0.05320954619,0.6922997896,0.0439762259,26.14470876,0.6915802415,1.623324017,1.200786064,0.06693587955
S010@R02,eegmmidb_rest,S010,ok,,64,160,8800,R02,eyes_closed,160.0,0.5722596225,0.0617798694,0.1419923687,0.2856855987,1.672652416,3.264272297,0.8760407284,0.1752529389,0.4494257282,0.7531788956,0.1149287402,0.001026367085,0.3887866945,0.2996135181,0.03430432849,20.81749676,0.7970400843,2.194578743,1.555216253,0.2116597603
S017@R01,eegmmidb_rest,S017,ok,,64,160,8800,R01,eyes_open,160.0,0.2228553261,0.2600412081,0.2024538888,0.1694081466,-0.348683235,0.3751811252,1.02379022,0.09265445423,0.5987879201,0.6171010594,-0.2432387101,0.001247106813,0.0866417116,0.3886573705,0.05790471141,40.91997993,0.8902557906,1.057492736,0.7136312208,0.09833219013
S017@R02,eegmmidb_rest,S017,ok,,64,160,8800,R02,eyes_closed,160.0,0.333062677,0.201930254,0.1752833795,0.1745864204,-0.4392240916,0.6681631312,0.6021444804,0.1737828131,0.675898176,0.664028999,-0.2357842915,0.0008570713187,0.3681819337,0.2333798623,0.0397869574,39.00005526,0.888036874,1.233159253,0.7297181806,0.2416656709
S018@R01,eegmmidb_rest,S018,ok,,64,160,8800,R01,eyes_open,160.0,0.7813218666,0.05052029221,0.3335121909,1.607589737,4.163077766,1.871732303,2.023009605,0.1046381363,0.4660561307,0.5626833325,0.04537928457,0.009239629314,0.02195702258,0.8172705502,0.02326225171,10.07047785,0.5992560023,2.431310894,1.544601478,0.1551119181
S018@R02,eegmmidb_rest,S018,ok,,64,160,8800,R02,eyes_closed,160.0,0.4390225596,0.1352413366,0.1675669238,0.249832071,4.17800105,2.553108429,0.6690305547,0.1273807234,0.6275952653,0.5719267374,0.006741938164,0.0007988946542,0.2336224395,0.3088462769,0.03191596678,29.42015417,0.8676175104,1.747085497,1.218405195,0.1829636424
S020@R02,eegmmidb_rest,S020,ok,,64,160,8800,R02,eyes_closed,160.0,0.5494261623,0.06768537154,0.1852302108,0.4342573371,5.817270611,2.808608768,1.000854857,0.07312420922,0.5756174717,0.7161573666,0.04529689786,0.000896545556,0.3061131452,0.3821207448,0.0442879822,22.06303807,0.7868506448,2.137001139,1.524693666,0.08284193818
S023@R01,eegmmidb_rest,S023,ok,,64,160,8800,R01,eyes_open,160.0,0.4974867448,0.1083593223,0.374129086,1.776997516,4.384501528,2.486641947,1.152567513,0.06894717337,0.7397726247,0.6772046784,-0.007107440985,0.001574257348,0.07422670314,0.6661624274,0.02770603821,26.30762918,0.7120310051,1.832775099,1.298334861,0.06879662335
