subject,dataset,run,status,error,sfreq,n_samples,smr_C3_db,smr_C4_db,smr_predictor_db,smr_peak_hz
A12,A,OE,ok,,512,61440,0.865603,1.14087,1.14087,12.75
A18,A,OE,ok,,512,61440,0.446366,0.350112,0.446366,14.5
A23,A,OE,ok,,512,61440,1.48372,2.06,2.06,12
A29,A,OE,ok,,512,61440,11.1076,7.17409,11.1076,10.75
A34,A,OE,ok,,512,61440,2.13593,2.98717,2.98717,9
A4,A,OE,ok,,512,61440,0.432766,0.473313,0.473313,14.25
A45,A,OE,ok,,512,61440,3.46996,4.31322,4.31322,8
A50,A,OE,ok,,512,61440,9.19691,8.86706,9.19691,10.25
A56,A,OE,ok,,512,61440,13.298,12.8893,13.298,9.75
A7,A,OE,ok,,512,61440,2.69866,1.85378,2.69866,9.25
B64,B,OE,ok,,512,61440,5.85995,4.20435,5.85995,10.5
B70,B,OE,ok,,512,61440,2.8532,2.27301,2.8532,9.75
B76,B,OE,ok,,512,61440,13.3705,15.6384,15.6384,11.25
C82,C,OE,ok,,512,61440,2.93491,1.54942,2.93491,10.5
