recording_id,subject,label,url,start_seconds,window_s,status,error,n_channels,sfreq,n_samples,alpha_peak_hz_wide,prominence
SC4001E0-PSG@N1,SC4001E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,36870.000,120.0,ok,,2,100,12000,7.5,5.288917431
SC4001E0-PSG@N2,SC4001E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,47595.000,120.0,ok,,2,100,12000,13,3.920501473
SC4001E0-PSG@N3,SC4001E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,34305.000,120.0,ok,,2,100,12000,9.75,3.012018172
SC4001E0-PSG@REM,SC4001E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,49635.000,120.0,ok,,2,100,12000,8.75,1.848473539
SC4001E0-PSG@W,SC4001E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,15255.000,120.0,ok,,2,100,12000,,
SC4002E0-PSG@N1,SC4002E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,45480.000,120.0,ok,,2,100,12000,7.75,1.985467366
SC4002E0-PSG@N2,SC4002E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,54675.000,120.0,ok,,2,100,12000,13,5.350860526
SC4002E0-PSG@N3,SC4002E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,50295.000,120.0,ok,,2,100,12000,13.25,2.039377664
SC4002E0-PSG@REM,SC4002E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,35070.000,120.0,ok,,2,100,12000,7.75,1.781927684
SC4002E0-PSG@W,SC4002E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,70545.000,120.0,ok,,2,100,12000,8.75,3.215863353
SC4011E0-PSG@N1,SC4011E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,22395.000,120.0,ok,,2,100,12000,9.5,6.821314733
SC4011E0-PSG@N2,SC4011E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,34890.000,120.0,ok,,2,100,12000,14.75,5.317633441
SC4011E0-PSG@N3,SC4011E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,25170.000,120.0,ok,,2,100,12000,14.5,6.094186197
SC4011E0-PSG@REM,SC4011E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,29475.000,120.0,ok,,2,100,12000,6,1.145868116
SC4011E0-PSG@W,SC4011E0-PSG,W,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,67485.000,120.0,ok,,2,100,12000,5.5,2.403692565
SC4012E0-PSG@N1,SC4012E0-PSG,N1,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,46605.000,120.0,ok,,2,100,12000,9.25,3.459661449
SC4012E0-PSG@N2,SC4012E0-PSG,N2,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,38700.000,120.0,ok,,2,100,12000,14.75,6.003503442
SC4012E0-PSG@N3,SC4012E0-PSG,N3,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,28830.000,120.0,ok,,2,100,12000,,
SC4012E0-PSG@REM,SC4012E0-PSG,REM,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,47655.000,120.0,ok,,2,100,12000,6.75,1.193219841
