recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_task,meta_acq,meta_run,lempel_ziv,relative_alpha_power,relative_delta_power,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
ds005620/sub-1010/eeg/sub-1010_task-awake_acq-EC_eeg.vhdr,ds005620,sub-1010,ok,,65,5000,100000,awake,EC,,0.3501056679,0.09152025328,0.6867741356,29.47553966,0.6090639536,1.845160671,1.33451747,0.1266625459
ds005620/sub-1010/eeg/sub-1010_task-awake_acq-EO_eeg.vhdr,ds005620,sub-1010,ok,,65,5000,100000,awake,EO,,0.376016707,0.02252185933,0.8174143387,6.781902326,0.5527672547,3.977709894,2.79299387,0.04734943989
ds005620/sub-1010/eeg/sub-1010_task-sed2_acq-rest_run-1_eeg.vhdr,ds005620,sub-1010,ok,,65,5000,100000,sed2,rest,1,0.3665875419,0.1215341495,0.7325636539,14.12591178,0.5786379396,3.012532575,2.088166,0.2070289399
ds005620/sub-1010/eeg/sub-1010_task-sed2_acq-rest_run-2_eeg.vhdr,ds005620,sub-1010,ok,,65,5000,100000,sed2,rest,2,0.5203672594,0.2515420118,0.4002810038,20.95765914,0.777577245,2.35339983,1.647618136,0.02562233602
ds005620/sub-1010/eeg/sub-1010_task-sed2_acq-rest_run-3_eeg.vhdr,ds005620,sub-1010,ok,,65,5000,100000,sed2,rest,3,0.6423331271,0.3726579237,0.2633032157,18.26007887,0.778021841,2.484352662,1.724624349,0.1828228611
ds005620/sub-1010/eeg/sub-1010_task-sed_acq-rest_run-1_eeg.vhdr,ds005620,sub-1010,ok,,65,5000,100000,sed,rest,1,0.3159920217,0.02835310719,0.8510037782,7.599666986,0.4695351913,2.928341299,2.062473317,0.2359532921
ds005620/sub-1010/eeg/sub-1010_task-sed_acq-rest_run-2_eeg.vhdr,ds005620,sub-1010,ok,,65,5000,100000,sed,rest,2,0.4950694993,0.2083286231,0.4554433963,30.67123213,0.7536404792,1.918118453,1.361689203,0.1025758262
ds005620/sub-1010/eeg/sub-1010_task-sed_acq-rest_run-3_eeg.vhdr,ds005620,sub-1010,ok,,65,5000,100000,sed,rest,3,0.6135856724,0.4292783688,0.1701497152,18.42124832,0.7870867182,2.355890259,1.651765275,0.1462268919
ds005620/sub-1016/eeg/sub-1016_task-awake_acq-EC_eeg.vhdr,ds005620,sub-1016,ok,,65,5000,100000,awake,EC,,0.188966602,0.4347568246,0.3005825945,28.07409893,0.7801589649,1.50334139,1.127568171,0.1211801839
ds005620/sub-1016/eeg/sub-1016_task-awake_acq-EO_eeg.vhdr,ds005620,sub-1016,ok,,65,5000,100000,awake,EO,,0.3294841604,0.01654880216,0.8552108466,12.29282667,0.5565290876,1.236378393,1.032280949,0.009963071044
