recording_id,dataset,subject,status,error,n_channels,sfreq,n_samples,meta_run,meta_condition,meta_sfreq,critical_slowing_ar1,emg_beta_gamma_fraction,emg_index,emg_kurtosis,exponent_gamma,exponent_high,exponent_low,icoh_alpha,lempel_ziv,lrtc_alpha,multiscale_entropy_slope,pac_slow_alpha,relative_alpha_power,relative_delta_power,spatial_participation_ratio,spectral_edge_95,spectral_entropy,uce_v1,whole_head_exponent,wpli_alpha
S001@R01,eegmmidb_rest,S001,ok,,64,160,8800,R01,eyes_open,160.0,0.5498252216,0.08031474033,0.3471155047,1.59011173,4.887194638,2.360630757,1.410612102,0.07571367424,0.5996599263,0.561133615,0.1195787652,0.001344742371,0.0989728173,0.6170872861,0.0314741296,22.80983288,0.7219630834,2.348641756,1.577841437,0.07988969726
S002@R01,eegmmidb_rest,S002,ok,,64,160,8800,R01,eyes_open,160.0,0.4258589454,0.1341278742,0.3665038676,1.493018681,0.2853055771,2.378446972,1.383846293,0.1196189075,0.8372193091,0.6922980906,-0.0883227952,0.0006254890561,0.08104560319,0.6928874768,0.03903781645,27.08553965,0.6979395247,1.658492438,1.099074385,0.122317912
S003@R01,eegmmidb_rest,S003,ok,,64,160,8800,R01,eyes_open,160.0,0.5576484682,0.1097904029,0.2816100174,0.8295905854,5.956356846,1.204113725,1.576909351,0.07630234395,0.5897564281,0.5842201779,0.08076318438,0.003055898868,0.06859291473,0.6361413368,0.04161190982,22.19699559,0.7116313872,2.030079711,1.340592588,0.09878713628
S004@R02,eegmmidb_rest,S004,ok,,64,160,8800,R02,eyes_closed,160.0,0.4455162291,0.1023628676,0.07165568426,0.04269687393,4.175219041,2.693649294,0.8681746251,0.2420350243,0.5777040578,0.6974338563,0.03474851273,0.0008221734728,0.3824294112,0.324354396,0.06484385727,25.69580961,0.774683446,1.802410259,1.26924152,0.3477560351
S009@R01,eegmmidb_rest,S009,ok,,64,160,8800,R01,eyes_open,160.0,0.3716079069,0.2577295681,0.2319713958,0.2597841505,-0.4525081987,0.4865197973,1.246786745,0.05935538205,0.7150138793,0.8435970618,-0.2001094008,0.0006795417417,0.02938016416,0.7054970249,0.04006651845,37.51608568,0.6914440319,0.4939212721,0.2877237336,0.03956717596
S011@R02,eegmmidb_rest,S011,ok,,64,160,8800,R02,eyes_closed,160.0,0.4609756949,0.102136875,0.05992909444,0.01804102458,5.124138238,2.057853894,0.8497512762,0.08680931072,0.5179404951,0.7304195688,0.07950213945,0.000864473044,0.3638725384,0.3269159765,0.05147164184,25.17318001,0.8069781959,1.880333675,1.300720556,0.09263763273
S012@R01,eegmmidb_rest,S012,ok,,64,160,8800,R01,eyes_open,160.0,0.4722011359,0.1166973134,0.3489672037,1.387986103,4.597638495,1.363461719,1.75716024,0.1021129748,0.6531637306,0.6581507001,0.07439181553,0.001279918274,0.04158252576,0.6086374381,0.04229623492,34.22118523,0.7640547574,1.138118172,0.9777904872,0.1191010557
S013@R02,eegmmidb_rest,S013,ok,,64,160,8800,R02,eyes_closed,160.0,0.4600023288,0.1312134336,0.2326355478,0.5016315124,4.74640312,3.33369917,0.7581709758,0.06937282683,0.8126785653,0.7505072876,0.03691393358,0.001208805227,0.2306015882,0.2769710755,0.03770803298,26.36420712,0.8694691877,1.871075091,1.302424351,0.07132829346
S019@R01,eegmmidb_rest,S019,ok,,64,160,8800,R01,eyes_open,160.0,0.4035030584,0.1579342982,0.4776631937,3.935641439,4.848213052,2.286275334,1.2756386,0.08007399762,0.8371881661,0.6101350395,-0.00906489814,0.001117792723,0.06649273581,0.5691032889,0.04484920157,31.89324599,0.7860978432,1.416494642,1.084498835,0.07778870303
S020@R01,eegmmidb_rest,S020,ok,,64,160,8800,R01,eyes_open,160.0,0.3805584587,0.188890227,0.4192653434,1.854210847,3.363935313,0.958161725,1.253339578,0.06088288851,0.6236089516,0.5522750218,-0.06120615494,0.0008987303816,0.07830853278,0.512085092,0.06267058656,38.59279059,0.8157089335,1.979564376,1.071934877,0.04335473524
S021@R01,eegmmidb_rest,S021,ok,,64,160,8800,R01,eyes_open,160.0,0.7268742566,0.03296847772,0.3294424745,1.673199762,6.653130715,3.229314324,1.614673154,0.09845237151,0.5374049176,0.6319636339,0.1745135571,0.004120461538,0.05999283699,0.7044563299,0.02153648116,16.41304602,0.6606524877,2.994929325,2.070959391,0.1613571826
S021@R02,eegmmidb_rest,S021,ok,,64,160,8800,R02,eyes_closed,160.0,0.6203411194,0.0840993899,0.331421302,1.373849001,7.651622476,2.659563214,0.5248783929,0.1225548483,0.7689848299,0.7626669193,0.03244157437,0.003231235193,0.3248463766,0.2356937951,0.03919430826,27.62339669,0.853097841,1.825482105,1.229254389,0.1713211999
S023@R02,eegmmidb_rest,S023,ok,,64,160,8800,R02,eyes_closed,160.0,0.6109840069,0.1026841512,0.4249136952,2.954808237,3.472035158,2.633125619,0.9424173313,0.1746995032,0.7421083554,0.9650473929,0.05555774014,0.001429287079,0.3231153144,0.3604064904,0.03760821794,27.25471903,0.8196393954,2.051007944,1.40603879,0.2108801218
S024@R02,eegmmidb_rest,S024,ok,,64,160,8800,R02,eyes_closed,160.0,0.3473263311,0.2290479248,-0.1134883263,-0.8383183476,6.539880872,1.49442892,0.7207462919,0.1631527346,0.8050485117,0.8527778126,-0.1842442181,0.0005149225255,0.274507525,0.1957044867,0.03409770074,36.91518528,0.894359635,1.027947351,0.7289769828,0.2256643477
S025@R01,eegmmidb_rest,S025,ok,,64,160,8800,R01,eyes_open,160.0,0.3377569324,0.228696561,0.2415290824,0.3411326524,5.301926837,3.930805548,0.8935556891,0.1598252172,0.6904108494,0.7029385199,-0.06067141991,0.001548841087,0.2454105823,0.3514952044,0.05847020607,29.9552593,0.8612467446,1.504917474,1.126354622,0.1986667264
S025@R02,eegmmidb_rest,S025,ok,,64,160,8800,R02,eyes_closed,160.0,0.4429826231,0.1734152168,0.1131200496,0.05577097773,4.894694773,4.765180073,0.5383129216,0.1643215549,0.7498941243,0.6283553165,-0.04957925595,0.001069772704,0.4827766545,0.1614408796,0.04992401068,27.94503514,0.8431783778,1.554164015,1.13270377,0.2360832899
S029@R01,eegmmidb_rest,S029,ok,,64,160,8800,R01,eyes_open,160.0,0.4580665872,0.0871277311,0.3707715403,1.893647037,4.685198595,1.91437993,1.196038766,0.08785547799,0.4721913166,0.6631404288,0.08032743163,0.000737881389,0.1865708145,0.5370788211,0.03402940106,25.65586598,0.7553673761,2.008526981,1.392797726,0.09044555314
S031@R01,eegmmidb_rest,S031,ok,,64,160,8800,R01,eyes_open,160.0,0.565637916,0.1105914627,0.09265084269,0.08074251383,6.519362724,2.071677727,0.8418479133,0.07130324738,0.8126474223,0.7850699306,-0.1728455686,0.0007774286935,0.2288061506,0.3121359837,0.03971725858,30.56423071,0.8475537504,1.912153815,1.189200874,0.06662861805
S032@R02,eegmmidb_rest,S032,ok,,64,160,8800,R02,eyes_closed,160.0,0.3397340376,0.1670893254,0.3910390321,1.597326625,0.2964078114,2.185052,1.0417404,0.07626513677,0.5655271151,0.6064958139,-0.2460673544,0.0009729900733,0.1086990358,0.5198418166,0.02787154096,33.33961005,0.7796708763,1.543934816,1.037576989,0.05597967413
S035@R01,eegmmidb_rest,S035,ok,,64,160,8800,R01,eyes_open,160.0,0.6302490386,0.05480684939,-0.2587534775,-1.338162911,8.095467379,2.37606297,1.599401472,0.1170733108,0.6686729824,0.7946555715,-0.08966303722,0.0006261331617,0.08899919033,0.7379143937,0.0307002577,15.2774128,0.6420832408,2.474514546,1.730669304,0.1069440234
S035@R02,eegmmidb_rest,S035,ok,,64,160,8800,R02,eyes_closed,160.0,0.607157635,0.06359365132,-0.2504188592,-1.295849449,7.6232649,3.720125467,1.120444858,0.146341448,0.7525412858,0.6368775593,-0.03655059031,0.001153086068,0.2398398852,0.2903163499,0.03020753934,21.18920665,0.8170317232,2.349054647,1.633696172,0.1515898149
