subject,task,run,trial,y,f0,f1,f2,f3,f4,f5
S001,imagery,R04,1,1.0,16.230759669178916,15.895769214016564,16.1098625074299,15.73040347799915,15.392552651316949,15.559080031172437
S001,imagery,R04,3,0.0,15.311252210983026,15.261680451126384,15.535710917243252,15.743366113670096,15.256195747237376,15.559456243274443
S001,imagery,R04,5,0.0,16.099209292855708,15.1144287477395,15.719304923555631,15.700122753224433,15.517736920539837,15.726315239275891
S001,imagery,R04,7,1.0,15.267766764149393,15.093079265659608,15.191516019510921,15.540028818763014,15.380992791833659,15.585201773067505
S001,imagery,R04,9,1.0,14.727667458143442,14.434096870523105,14.651415916989237,15.647637381016851,15.442701144600756,15.707688975471502
S001,imagery,R04,11,0.0,15.699857345439966,14.807649838905574,15.588012880493467,15.915552492214488,15.819373863840857,16.029016215016412
S001,imagery,R04,13,1.0,15.4606072640392,15.897921619255708,15.666243275682218,16.080526973184565,15.942378364844606,15.758084416686213
S001,imagery,R04,15,0.0,15.624132543814452,15.603702300008582,15.737775301299802,15.907427529096237,15.606342053188719,15.973214531586931
S001,imagery,R04,17,1.0,15.82494791941432,15.624674267916925,15.948620367844445,15.675052139283885,15.411458571362516,15.536733749754118
S001,imagery,R04,19,0.0,16.051139005181124,15.667022196623044,15.930590236609012,16.089775436870873,15.559345738680571,15.962186445874412
S001,imagery,R04,21,0.0,14.993359638720454,14.829934731110715,15.001253378087041,15.88856070928267,15.700436034288709,15.890978278109607
S001,imagery,R04,23,1.0,15.775427649827957,15.62559659641791,16.019053070259883,15.665031749792929,15.418536677504147,15.599373233827574
S001,imagery,R04,25,0.0,15.731569093599886,15.016496498852765,15.829073705187056,15.973091308598699,15.912368721798861,15.993185848536317
S001,imagery,R04,27,1.0,15.348044394394933,15.934645841019488,15.514073209600541,15.527406833436281,15.735709526206302,15.577457834160915
S001,imagery,R04,29,0.0,16.146236370138364,15.595186042592255,15.714461126182593,15.80983413752493,15.405730137484536,15.616200485390864
S001,imagery,R08,1,0.0,15.375506434198302,15.109407673868478,15.597850475650509,15.757725798427677,15.516677108155163,15.830760934417915
S001,imagery,R08,3,1.0,15.91025966837845,15.576225078928903,15.72630655097223,16.047511520696258,15.765797074807866,16.071707503574476
S001,imagery,R08,5,0.0,15.284547108102492,14.947989743127641,15.272685742100428,15.871553956576387,15.453487486692667,15.854468100274172
S001,imagery,R08,7,1.0,15.510731794745043,15.437715270617176,15.480666129437957,16.075826016312917,15.731556659430845,16.09144714181579
S001,imagery,R08,9,0.0,15.603497743665745,14.715526399173541,15.140082237205403,15.854021809518311,15.306077234162144,15.850327935108776
S001,imagery,R08,11,1.0,15.955624034137855,15.402687514551145,15.59003938457625,15.558592545424263,15.404729055487156,15.521213288173863
S001,imagery,R08,13,0.0,15.346832881377084,14.959748458943265,15.494133203793039,15.742116531253057,15.510545468337618,16.31928923759374
S001,imagery,R08,15,1.0,15.887022593306835,15.625614442827736,15.556289349590806,16.22675368468337,15.831524800537238,16.23221736044488
S001,imagery,R08,17,1.0,15.776026043917986,14.944515953342883,15.413276634110703,15.622420521914496,15.768641474417056,15.942436087097834
S001,imagery,R08,19,0.0,14.51700355879626,14.589904815891794,14.878242445913951,15.595261968112565,15.445070326232166,15.752110946740647
S001,imagery,R08,21,0.0,16.007513417195966,15.435526040808792,15.90952533901414,16.467134980448403,15.677635042589573,16.04998209175163
S001,imagery,R08,23,1.0,15.363096294506793,14.925608530768345,15.473205483600834,15.609504987332338,15.381533914848946,15.548128200163728
S001,imagery,R08,25,1.0,15.50296903692691,15.528777577784014,15.736555172577802,15.668788022694613,15.080437821206585,15.629238544325274
S001,imagery,R08,27,0.0,15.106037878081887,14.871816051437898,14.851059580937717,15.760612890902655,15.368552398838352,15.798906189798771
S001,imagery,R08,29,0.0,15.194178724493446,14.719243734321129,15.06291346738463,15.346092165159785,14.93303149918964,15.242043582739644
S001,imagery,R12,1,1.0,14.606370337277314,14.8289890912078,14.787950464637252,15.504719339987028,15.506291720320515,15.702995665051375
S001,imagery,R12,3,0.0,15.277216916925543,15.34727903136473,15.321825499934665,15.500366360657898,15.773417269399502,15.71870607268909
S001,imagery,R12,5,1.0,15.194267046735465,15.158577276336652,15.378174767011854,15.253288279217184,15.066688034162233,15.275858841843826
S001,imagery,R12,7,0.0,15.138349610828621,15.167088718168602,15.04624156825391,15.403275328826128,15.064561187850332,15.481392827290833
S001,imagery,R12,9,0.0,16.70881990990393,15.774136010156878,16.716034668316045,16.42524191230766,16.10789649703488,16.4152701679716
S001,imagery,R12,11,1.0,16.411852664368308,16.070282516061187,16.366916420205545,15.672404226463374,15.64259076186719,15.824467634720142
S001,imagery,R12,13,1.0,15.847159706148389,15.508303980249867,15.986216899114694,15.795299840132072,15.330964729345549,15.594605056946724
S001,imagery,R12,15,0.0,15.382891916352966,15.381247050462358,15.426058361875315,15.933542686721953,15.575617224173609,15.630371394969705
S001,imagery,R12,17,0.0,17.29949170327131,15.597432312439482,16.428643045446886,15.585124316521153,15.453848450276148,15.715705369879819
